diagcode,ccs,ccs43_text,label,ccs_label
0,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
000,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
001,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
002,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
003,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
004,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
005,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
006,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
007,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
008,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
