ConsultantMainSpecialtyCode,Specialty,SpecialtyGroup,CriticalCare
100,General Surgery,Acute and general surgery,0
10010,RENAL SURGERY,Surgical subspecialty,0
10060,VASCULAR SURGERY,Surgical subspecialty,0
10061,Endoscopy (General Surgery),Procedural,0
10066,Endoscopy Bowel Screening (General Surg),Procedural,0
10067,General Surgery (Hernia),Procedural,0
101,Urology,Acute and general surgery,0
10106,PAEDIATRIC UROLOGY,Paediatric surgical subspecialty,0
10130,Andrology,Medical subspecialty,0
102,Transplantation Surgery,Surgical subspecialty,0
10221,Liver Transplantation,Procedural,0
10222,Renal Transplantation,Procedural,0
10223,Simultaneous Pancreas and Kidney Transpl,Procedural,0
10224,Pancreas Transplantation,Procedural,0
10225,Islet Cell Transplantation,Procedural,0
10226,Intestinal Transplantation,Procedural,0
10240,Liver Transplant,Procedural,0
10246,Renal Transplant,Procedural,0
103,Breast Surgery,Surgical subspecialty,0
104,Colorectal Surgery,Surgical subspecialty,0
10466,Endoscopy Bowel Screening (Col Surg),Procedural,0
105,Hepatobiliary & Pancreatic Surgery,Surgical subspecialty,0
10539,Liver Surgery,Procedural,0
106,Upper Gastrointestinal Surgery,Surgical subspecialty,0
107,Vascular Surgery,Surgical subspecialty,0
108,Spinal Surgery Service,Surgical subspecialty,0
110,Trauma & Orthopaedics,Surgical subspecialty,0
11006,PAEDIATRIC T & O,Paediatric acute and general surgery,0
11021,NULL,none,0
11022,NULL,none,0
11023,SCOLIOSIS,Diagnostic,0
11024,NULL,none,0
11025,NULL,none,0
11026,NULL,none,0
11027,NULL,none,0
11028,NULL,none,0
11029,NULL,none,0
11030,NULL,none,0
11031,NULL,none,0
11032,NULL,none,0
11033,NULL,none,0
11034,NULL,none,0
120,ENT,Surgical subspecialty,0
12005,ENT Craniofacial,Surgical subspecialty,0
12033,Cochlear Implant,Procedural,0
12048,GOTHENBURG/BHAR,Procedural,0
12075,ENT Craniofacial PCT,Procedural,0
12085,ENT Craniofacial NSCT,Procedural,0
130,Ophthalmology,Surgical subspecialty,0
13001,NULL,none,0
13002,NULL,none,0
13003,Optometry,Allied health,0
13005,Ophthalmology Craniofacial,Surgical subspecialty,0
13013,NULL,none,0
13014,Ocular Oncology,Surgical subspecialty,0
13020,Retinoblastoma,Diagnostic,0
13044,Neuro-Ophthalmology,Medical subspecialty,0
13075,Ophthalmology Craniofacial PCT,Surgical subspecialty,0
13085,Ophthalmology Craniofacial NSCT,Surgical subspecialty,0
140,Oral Surgery,Surgical subspecialty,0
